Week Start,Consumption
01-01-2006,9530.3
08-01-2006,10349.622
15-01-2006,10447.582
22-01-2006,10595.134
29-01-2006,10504.025
05-02-2006,10512.965
12-02-2006,10185.07
19-02-2006,10101.844
26-02-2006,10062.466
05-03-2006,10076.571
12-03-2006,10038.284
19-03-2006,9680.156
26-03-2006,9485.571
02-04-2006,9441.104
09-04-2006,8977.244
16-04-2006,8562.414
23-04-2006,9036.884
30-04-2006,8485.364
07-05-2006,8806.153
14-05-2006,8924.025
21-05-2006,8497.394
28-05-2006,8963.43
04-06-2006,8318.042
11-06-2006,8541.56
18-06-2006,8893.344
25-06-2006,8815.251
02-07-2006,8936.047
09-07-2006,8851.751
16-07-2006,8796.139
23-07-2006,8860.782
30-07-2006,8529.094
06-08-2006,8493.543
13-08-2006,8511.853
20-08-2006,8791.475
27-08-2006,8929.945
03-09-2006,9191.084
10-09-2006,9207.619
17-09-2006,9187.921
24-09-2006,9270.264
01-10-2006,8891.369
08-10-2006,9429.344
15-10-2006,9518.204
22-10-2006,9751.876
29-10-2006,9656.814
05-11-2006,10157.977
12-11-2006,10027.452
19-11-2006,10062.699
26-11-2006,10078.218
03-12-2006,10299.074
10-12-2006,10410.973
17-12-2006,9891.277
24-12-2006,8359.545
31-12-2006,9410.15
07-01-2007,10309.689
14-01-2007,10306.346
21-01-2007,10540.445
28-01-2007,10447.487
04-02-2007,10289.954
11-02-2007,10034.721
18-02-2007,9793.597
25-02-2007,9968.326
04-03-2007,9783.568
11-03-2007,9622.491
18-03-2007,10127.918
25-03-2007,9582.273
01-04-2007,9059.436
08-04-2007,8793.084
15-04-2007,9190.442
22-04-2007,9103.028
29-04-2007,8458.61
06-05-2007,9290.814
13-05-2007,8629.436
20-05-2007,9047.812
27-05-2007,8558.912
03-06-2007,8716.062
10-06-2007,9175.999
17-06-2007,9157.474
24-06-2007,9176.264
01-07-2007,9114.88
08-07-2007,8952.861
15-07-2007,9018.281
22-07-2007,8932.254
29-07-2007,8744.57
05-08-2007,8924.642
12-08-2007,8711.479
19-08-2007,9109.302
26-08-2007,9221.622
02-09-2007,9450.245
09-09-2007,9504.148
16-09-2007,9488.006
23-09-2007,9669.974
30-09-2007,9209.965
07-10-2007,9681.752
14-10-2007,9825.52
21-10-2007,10100.977
28-10-2007,9674.42
04-11-2007,10481.525
11-11-2007,10343.924
18-11-2007,10341.094
25-11-2007,10659.445
02-12-2007,10685.226
09-12-2007,10380.657
16-12-2007,10206.967
23-12-2007,8480.388
30-12-2007,9159.389
06-01-2008,10358.117
13-01-2008,10403.829
20-01-2008,10477.052
27-01-2008,10431.041
03-02-2008,10176.747
10-02-2008,10159.79
17-02-2008,10436.031
24-02-2008,10229.368
02-03-2008,10202.965
09-03-2008,10121.121
16-03-2008,9619.396
23-03-2008,9435.5
30-03-2008,9788.492
06-04-2008,9739.087
13-04-2008,9680.795
20-04-2008,9473.825
27-04-2008,8605.863
04-05-2008,8985.725
11-05-2008,8579.295
18-05-2008,8717.883
25-05-2008,9259.719
01-06-2008,9143.808
08-06-2008,9001.33
15-06-2008,8971.958
22-06-2008,9102.223
29-06-2008,9052.257
06-07-2008,8988.408
13-07-2008,8874.538
20-07-2008,8808.203
27-07-2008,8876.265
03-08-2008,8893.767
10-08-2008,8941.334
17-08-2008,8979.849
24-08-2008,9047.406
31-08-2008,9189.071
07-09-2008,9238.647
14-09-2008,9310.576
21-09-2008,9495.422
28-09-2008,9302.108
05-10-2008,9548.893
12-10-2008,9656.955
19-10-2008,9748.411
26-10-2008,9755.418
02-11-2008,9660.911
09-11-2008,9989.556
16-11-2008,10149.951
23-11-2008,10095.579
30-11-2008,10012.232
07-12-2008,9960.822
14-12-2008,9611.421
21-12-2008,7847.619
28-12-2008,7921.655
04-01-2009,9464.847
11-01-2009,10022.968
18-01-2009,9845.72
25-01-2009,9537.425
01-02-2009,9965.909
08-02-2009,9885.927
15-02-2009,9765.04
22-02-2009,9363.469
01-03-2009,9387.67
08-03-2009,9258.005
15-03-2009,8952.168
22-03-2009,9262.714
29-03-2009,8642.311
05-04-2009,7768.202
12-04-2009,7651.108
19-04-2009,8279.699
26-04-2009,7968.786
03-05-2009,8477.247
10-05-2009,8464.452
17-05-2009,7643.862
24-05-2009,8263.732
31-05-2009,7742.69
07-06-2009,8041.249
14-06-2009,8276.362
21-06-2009,8308.184
28-06-2009,8365.401
05-07-2009,8171.277
12-07-2009,8177.086
19-07-2009,8032.272
26-07-2009,7825.368
02-08-2009,7910.128
09-08-2009,8125.898
16-08-2009,8270.13
23-08-2009,8350.763
30-08-2009,8623.478
06-09-2009,8581.513
13-09-2009,8785.501
20-09-2009,8689.467
27-09-2009,8857.002
04-10-2009,9079.44
11-10-2009,9289.033
18-10-2009,9296.307
25-10-2009,9205.638
01-11-2009,9456.416
08-11-2009,9552.208
15-11-2009,9580.499
22-11-2009,9837.145
29-11-2009,9805.739
